Task,Min,Max,ConcentricLowerBound,EccentricLowerBound,ConcentricUpperBound,EccentricUpperBound
AxillaTouch,0,79.81,52.92887029,10.25104603,75.0209205,14.76987448
ForwardReach,0,50.51,37.86516854,11.79775281,49.3258427,22.58426966
HairTouch,0,123.35,97.25490196,4.705882353,119.2156863,18.03921569
RearTouch,0,74.79,58.40148699,10.66914498,75.35315985,18.2527881
UpwardReach90,0,78.7,66.58682635,12.99401198,77.36526946,21.67664671
UpwardReach105,0,106.33,91.04477612,13.13432836,102.6865672,24.32835821
