Task,Min,Max,ConcentricLowerBound,EccentricLowerBound,ConcentricUpperBound,EccentricUpperBound
AxillaTouch,-27.27272727,101.1363636,88.93854749,10.27932961,99.66480447,31.2849162
ForwardReach,-6.25,23.86363636,8.93258427,-3.539325843,23.59550562,9.269662921
HairTouch,-72.15909091,27.27272727,-49.72067039,-27.26256983,-26.25698324,25.36312849
RearTouch,-13.06818182,82.38636364,48.87029289,-1.673640167,78.32635983,27.78242678
UpwardReach90,-5.681818182,36.93181818,13.48314607,-0.337078652,36.91011236,8.93258427
UpwardReach105,-7.954545455,40.90909091,26.41791045,-2.462686567,40.29850746,10.74626866
